,Poverty Thresholds 2004,,,,,,,,,
,,,,,,,,,,
,(Use landscape & legal printer options to print this table),,,,,,,,,
,Poverty Thresholds for 2004 by Size of Family and Number of Related Children Under 18 Years,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of Family Unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual) ......,"9,646",,,,,,,,,
Under 65 years ......,"9,827","9,827",,,,,,,,
65 years and over ......,"9,060","9,060",,,,,,,,
,,,,,,,,,,
Two people ......,"12,335",,,,,,,,,
Householder under 65 years ......,"12,714","12,649","13,020",,,,,,,
Householder 65 years and over ......,"11,430","11,418","12,971",,,,,,,
,,,,,,,,,,
Three people ......,"15,066","14,776","15,205","15,219",,,,,,
Four people ......,"19,307","19,484","19,803","19,157","19,223",,,,,
Five people ......,"22,830","23,497","23,838","23,108","22,543","22,199",,,,
Six people ......,"25,787","27,025","27,133","26,573","26,037","25,241","24,768",,,
Seven people ......,"29,233","31,096","31,290","30,621","30,154","29,285","28,271","27,159",,
Eight people ......,"32,641","34,778","35,086","34,454","33,901","33,115","32,119","31,082","30,818",
Nine people or more ......,"39,062","41,836","42,039","41,480","41,010","40,240","39,179","38,220","37,983","36,520"
Source:U.S. Census Bureau,,,,,,,,,,
