,Poverty Thresholds 1989,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1989 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$6,313 ",,,,,,,,,
Under 65 years......,"6,451","6,451",,,,,,,,
65 years and over......,"5,947","5,947",,,,,,,,
,,,,,,,,,,
Two persons......,"8,078",,,,,,,,,
Householder under 65 years......,"8,344","8,303","8,547",,,,,,,
Householder 65 years and over......,"7,501","7,495","8,515",,,,,,,
,,,,,,,,,,
Three persons......,"9,886","9,699","9,981","9,990",,,,,,
Four persons......,"12,674","12,790","12,999","12,575","12,619",,,,,
Five persons......,"14,990","15,424","15,648","15,169","14,798","14,572",,,,
Six persons......,"16,921","17,740","17,811","17,444","17,092","16,569","16,259",,,
Seven persons......,"19,160","20,412","20,540","20,101","19,794","19,224","18,558","17,828",,
Eight persons......,"21,323","22,830","23,031","22,617","22,253","21,738","21,084","20,403","20,230",
Nine persons or more......,"25,496","27,463","27,596","27,229","26,921","26,415","25,719","25,089","24,933","23,973"
Source:U.S. Census Bureau,,,,,,,,,,
