,Poverty Thresholds 1984,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1984 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$5,278 ",,,,,,,,,
Under 65 years......,"5,400","5,400",,,,,,,,
65 years and over......,"4,979","4,979",,,,,,,,
,,,,,,,,,,
Two persons......,"6,762",,,,,,,,,
Householder under 65 years......,"6,983","6,951","7,155",,,,,,,
Householder 65 years and over......,"6,282","6,275","7,128",,,,,,,
,,,,,,,,,,
Three persons......,"8,277","8,120","8,355","8,363",,,,,,
Four persons......,"10,609","10,707","10,882","10,527","10,564",,,,,
Five persons......,"12,566","12,912","13,100","12,699","12,388","12,199",,,,
Six persons......,"14,207","14,851","14,910","14,603","14,308","13,871","13,611",,,
Seven persons......,"16,096","17,088","17,195","16,827","16,571","16,093","15,536","14,925",,
Eight persons......,"17,961","19,112","19,281","18,933","18,629","18,198","17,650","17,080","16,935",
Nine persons or more......,"21,247","22,990","23,102","22,794","22,536","22,113","21,530","21,003","20,873","20,069"
Source:U.S. Census Bureau,,,,,,,,,,
