Poverty Thresholds 1980,,,,,,,,,,
,,,,,,,,,,
"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1980 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$4,190 ",,,,,,,,,
Under 65 years......,"4,290","4,284",,,,,,,,
65 years and over......,"3,949","3,950",,,,,,,,
,,,,,,,,,,
Two persons......,"5,363",,,,,,,,,
Householder under 65 years......,"5,537","5,514","5,676",,,,,,,
Householder 65 years and over......,"4,983","4,978","5,655",,,,,,,
,,,,,,,,,,
Three persons......,"6,565","6,442","6,628","6,635",,,,,,
Four persons......,"8,414","8,494","8,633","8,351","8,380",,,,,
Five persons......,"9,966","10,243","10,392","10,074","9,828","9,677",,,,
Six persons......,"11,269","11,782","11,828","11,585","11,351","11,004","10,798",,,
Seven persons......,"12,761","13,556","13,641","13,349","13,146","12,767","12,325","11,840",,
Eight persons......,"14,199","15,162","15,296","15,020","14,779","14,437","14,002","13,550","13,435",
Nine persons or more......,"16,896","18,238","18,327","18,083","17,878","17,543","17,080","16,662","16,559","15,921"
Source:U.S. Census Bureau,,,,,,,,,,
