,Poverty Thresholds 1988,,,,,,,,,
,,,,,,,,,,
,"(Use landscape & legal printer options to print this table)
Poverty Thresholds for 1988 by Size of Family and Number of Related Children Under 18 Years (Dollars)",,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Size of family unit,"Weighted
Average
Thresholds",Related children under 18 years,,,,,,,,
,,None,One,Two,Three,Four,Five,Six,Seven,"Eight
or
more"
One person (unrelated individual)......,"$6,022 ",,,,,,,,,
Under 65 years......,"6,155","6,155",,,,,,,,
65 years and over......,"5,674","5,674",,,,,,,,
,,,,,,,,,,
Two persons......,"7,704",,,,,,,,,
Householder under 65 years......,"7,958","7,922","8,154",,,,,,,
Householder 65 years and over......,"7,157","7,151","8,123",,,,,,,
,,,,,,,,,,
Three persons......,"9,435","9,254","9,522","9,531",,,,,,
Four persons......,"12,092","12,202","12,402","11,997","12,039",,,,,
Five persons......,"14,304","14,715","14,929","14,472","14,118","13,902",,,,
Six persons......,"16,146","16,925","16,992","16,642","16,306","15,807","15,511",,,
Seven persons......,"18,232","19,474","19,596","19,177","18,884","18,340","17,705","17,008",,
Eight persons......,"20,253","21,780","21,973","21,577","21,231","20,739","20,115","19,465","19,300",
Nine persons or more......,"24,129","26,200","26,327","25,977","25,683","25,200","24,536","23,936","23,787","22,871"
Source:U.S. Census Bureau,,,,,,,,,,
